Especie	   	Vto.	Cant. Nominal	Precio Compra	Precio Venta	Cant. Nominal	Último	Variación %	Apertura	Máximo	Mínimo	Cierre Ant.	Vol. Nominal	Monto Operado ($)	Cant. Ope.	Hora Cotización
ALUA		P. E.	300	33,750	37,600	133	37,500	3,88 	36,500	37,700	35,750	36,100	476.992	17.631.856	744	17:15:02
BBAR		P. E.	5	128,000	143,000	25	140,850	3,57 	136,000	141,200	134,000	136,000	137.405	18.947.976	692	17:15:03
BMA		P. E.	97	200,000	209,000	30	206,700	3,66 	199,500	207,500	199,400	199,400	227.423	46.121.908	755	17:15:02
BYMA		P. E.	119	380,000	388,500	2	383,000	0,92 	380,000	384,000	373,500	379,500	37.679	14.385.077	263	17:15:02
CEPU		P. E.	5	26,150	27,500	50	26,950	1,70 	26,550	27,350	26,300	26,500	523.273	14.085.142	474	17:15:02
COME		P. E.	4	2,160	2,350	31	2,220	0,45 	2,210	2,250	2,170	2,210	3.414.633	7.539.532	661	17:15:02
CRES		P. E.	600	32,000	34,000	6	32,950	4,11 	32,100	33,150	31,650	31,650	134.671	4.351.634	374	17:15:02
CVH		P. E.	2	425,000	440,000	3	427,500	4,40 	411,500	429,500	410,000	409,500	15.332	6.459.889	323	17:15:02
EDN		P. E.	3.632	18,000	21,400	125	20,850	2,71 	20,300	21,200	20,000	20,300	373.612	7.711.748	539	17:15:03
GGAL		P. E.	97	102,900	105,500	190	105,950	2,66 	103,950	106,300	103,000	103,200	1.094.672	114.922.813	2261	17:15:03
MIRG		P. E.	5	904,000	960,000	266	933,000	1,97 	920,000	938,000	905,000	915,000	11.318	10.425.811	460	17:15:03
PAMP		P. E.	1	45,000	48,100	90	47,650	5,89 	45,500	48,000	45,300	45,000	650.103	30.186.204	969	17:15:03
SUPV		P. E.	777	44,900	52,000	142	50,700	5,74 	49,000	50,950	48,000	47,950	254.207	12.530.913	603	17:15:02
TECO2		P. E.	18	190,050	200,000	1	193,250	2,11 	189,500	195,500	189,000	189,250	33.241	6.408.419	195	17:15:02
TGNO4		P. E.	500	31,000	35,000	45	32,250	0,47 	32,400	32,850	31,400	32,100	189.908	6.110.893	400	17:15:02
TGSU2		P. E.	37	106,000	129,400	4	120,400	5,52 	114,050	121,000	112,750	114,100	182.495	21.411.817	250	17:15:02
TRAN		P. E.	3	21,600	24,000	10	22,350	1,13 	22,150	23,100	21,700	22,100	248.829	5.537.550	371	17:15:02
TXAR		P. E.	3	30,000	34,850	1.500	32,550	-0,46 	33,100	33,500	31,500	32,700	580.033	18.899.880	517	17:15:02
VALO		P. E.	239	26,200	27,500	491	27,000	3,45 	26,400	27,050	26,400	26,100	1.080.218	29.000.599	1034	17:15:02
YPFD		P. E.	6	585,000	629,000	70	623,050	3,48 	604,050	626,000	600,000	602,100	99.704	61.119.345	1090	17:15:02
