Especie	   	Vto.	Cant. Nominal	Precio Compra	Precio Venta	Cant. Nominal	Último	Variación %	Apertura	Máximo	Mínimo	Cierre Ant.	Vol. Nominal	Monto Operado ($)	Cant. Ope.	Hora Cotización
ALUA		P. E.	10	35,000	37,000	5	36,100	-6,96 	39,000	39,400	35,800	38,800	784.929	28.890.398	1277	17:17:05
BBAR		P. E.	5	132,000	140,000	20	136,000	-5,65 	141,950	141,950	130,250	144,150	924.533	124.458.144	2439	17:16:52
BMA		P. E.	80	190,000	208,000	200	199,400	-4,73 	209,000	209,000	193,800	209,300	1.016.055	202.055.550	1804	17:15:03
BYMA		P. E.	6	365,000	398,500	5	379,500	-2,69 	394,000	394,000	370,000	390,000	51.363	19.452.352	375	17:15:03
CEPU		P. E.	50	26,000	28,900	100	26,500	-5,36 	27,950	27,950	25,500	28,000	754.562	20.081.912	741	17:15:44
COME		P. E.	15.000	2,050	2,350	31	2,210	-4,33 	2,320	2,320	2,200	2,310	3.907.375	8.707.761	731	17:15:03
CRES		P. E.	350	31,000	38,350	55	31,650	-5,24 	33,500	33,500	31,000	33,400	476.843	15.260.012	962	17:15:03
CVH		P. E.	1	385,000	415,000	28	409,500	1,61 	403,000	414,000	390,000	403,000	13.665	5.539.733	258	17:15:03
EDN		P. E.	11	20,300	21,850	25	20,300	-7,09 	22,000	22,000	20,150	21,850	403.677	8.314.844	728	17:15:04
GGAL		P. E.	39	102,000	105,000	5	103,200	-6,01 	108,000	109,000	102,550	109,800	3.759.125	392.232.209	4620	17:15:04
HARG		P. E.	291	68,000	80,000	30	71,000	0,00 	71,000	71,000	68,700	71,000	40.772	2.813.213	91	17:05:45
PAMP		P. E.	11	44,200	46,000	10	45,000	-1,53 	45,400	45,900	44,300	45,700	1.724.935	77.392.440	1169	17:15:04
SUPV		P. E.	777	44,900	50,500	13	47,950	-4,86 	49,950	50,300	47,200	50,400	650.676	31.565.054	1035	17:15:03
TECO2		P. E.	68	180,000	200,000	1	189,250	-2,55 	194,000	203,000	185,000	194,200	96.851	18.907.584	436	17:15:03
TGNO4		P. E.	500	31,000	35,000	45	32,100	-3,17 	33,000	33,650	31,100	33,150	118.383	3.796.878	390	17:15:03
TGSU2		P. E.	500	84,000	120,000	7	114,100	-4,12 	118,050	119,900	107,000	119,000	159.973	18.268.698	280	17:15:03
TRAN		P. E.	3	21,600	23,000	10	22,100	-4,74 	23,300	24,000	22,000	23,200	198.970	4.479.638	367	17:15:03
TXAR		P. E.	3	30,000	35,700	50	32,700	-6,84 	35,200	35,500	32,150	35,100	883.073	29.259.122	675	17:15:03
VALO		P. E.	150	26,100	26,900	16	26,100	2,55 	25,950	26,250	25,650	25,450	2.587.145	67.510.782	1133	17:15:03
YPFD		P. E.	6	585,000	625,000	54	602,100	-2,15 	608,000	613,950	593,050	615,300	158.298	95.269.731	1267	17:15:03
