Especie;Precio Compra;Precio Venta;Apertura;Maximo;Minimo
ALUA;17,000;17,900;17,200;17,650;17,100
BBAR;0,000;170,000;161,000;169,900;161,000
BMA;305,000;316,000;303,600;317,000;300,000
BYMA;343,000;370,000;359,000;361,500;348,000
CEPU;35,100;41,000;37,000;38,200;37,000
COME;0,000;1,880;1,860;1,880;1,740
CRES;40,100;44,500;43,350;44,000;42,000
CVH;194,000;260,000;238,000;240,000;228,000
EDN;38,300;41,000;39,200;40,000;39,150
GGAL;151,000;184,000;160,550;162,300;157,500
MIRG;300,000;338,000;330,000;331,000;322,000
PAMP;57,200;59,900;58,400;58,600;57,200
SUPV;55,000;68,000;65,700;66,700;64,000
TECO2;0,000;140,000;136,600;136,600;126,500
TGNO4;70,000;79,000;73,000;73,900;70,100
TGSU2;134,500;140,000;136,950;139,500;135,000
TRAN;40,200;48,450;46,200;46,500;44,700
TXAR;11,650;14,800;14,550;14,550;14,000
VALO;7,200;7,920;7,540;7,900;7,390
YPFD;700,000;780,000;720,000;723,000;703,900
