Especie;Vto.;Cant. Nominal;Precio Compra;Precio Venta;Cant. Nominal
ALUA;P. E.;548;37,150;37,550;548
BBAR;P. E.;99;136,800;137,000;99
BMA;P. E.;130;203,800;203,900;130
BYMA;P. E.;13;382,500;383,000;13
CEPU;P. E.;772;26,750;26,800;772
COME;P. E.;8.587;2,200;2,210;8.587
CRES;P. E.;1.728;32,100;32,400;1.728
CVH;P. E.;81;426,500;428,000;81
EDN;P. E.;789;20,600;20,650;789
GGAL;P. E.;452;104,950;105,000;452
MIRG;P. E.;47;918,000;919,000;47
PAMP;P. E.;10.870;46,700;46,750;10.870
SUPV;P. E.;30;48,750;49,000;30
TECO2;P. E.;31;190,500;192,000;31
TGNO4;P. E.;2.445;32,050;32,100;2.445
TGSU2;P. E.;49;117,000;117,900;49
TRAN;P. E.;2.059;22,200;22,250;2.059
TXAR;P. E.;406;32,600;33,000;406
VALO;P. E.;2.750;26,800;26,850;2.750
YPFD;P. E.;250;609,000;610,000;250
