Especie;Precio Compra;Precio Venta;Apertura;Maximo;Minimo
ALUA;33,750;37,600;36,500;37,700;35,750
BBAR;128,000;143,000;136,000;141,200;134,000
BMA;200,000;209,000;199,500;207,500;199,400
BYMA;380,000;388,500;380,000;384,000;373,500
CEPU;26,150;27,500;26,550;27,350;26,300
COME;2,160;2,350;2,210;2,250;2,170
CRES;32,000;34,000;32,100;33,150;31,650
CVH;425,000;440,000;411,500;429,500;410,000
EDN;18,000;21,400;20,300;21,200;20,000
GGAL;102,900;105,500;103,950;106,300;103,000
MIRG;904,000;960,000;920,000;938,000;905,000
PAMP;45,000;48,100;45,500;48,000;45,300
SUPV;44,900;52,000;49,000;50,950;48,000
TECO2;190,050;200,000;189,500;195,500;189,000
TGNO4;31,000;35,000;32,400;32,850;31,400
TGSU2;106,000;129,400;114,050;121,000;112,750
TRAN;21,600;24,000;22,150;23,100;21,700
TXAR;30,000;34,850;33,100;33,500;31,500
VALO;26,200;27,500;26,400;27,050;26,400
YPFD;585,000;629,000;604,050;626,000;600,000
